song_id,title,artist,anger_score,anticipation_score,disgust_score,fear_score,joy_score,negative_score,positive_score,sadness_score,surprise_score,trust_score
1967,I See Fire,Ed Sheeran,12,10,14,17,4,25,10,18,6,8
2150,Give Me Love (New Machine Remix),Ed Sheeran,5,5,4,7,5,6,13,4,4,7
1984,Bibia Be Ye Ye,Ed Sheeran,9,9,7,7,6,15,16,12,3,9
1977,Give Me Love,Ed Sheeran,7,5,2,9,3,11,6,7,1,2
2070,Sing (French Remix),Ed Sheeran,10,9,5,9,9,19,20,10,2,8
2055,Sofa,Ed Sheeran,13,6,9,13,7,18,15,7,3,8
2053,Let It Out,Ed Sheeran,3,6,1,5,8,8,12,9,3,7
2050,Everything You Are,Ed Sheeran,4,7,6,5,9,8,17,8,4,10
2043,Gold Rush,Ed Sheeran,4,7,2,6,6,10,15,4,1,8
2026,This,Ed Sheeran,5,6,3,5,5,6,8,6,2,4
2020,Grade 8,Ed Sheeran,3,5,2,7,5,13,16,7,2,11
2017,Friends,Ed Sheeran,3,3,2,5,6,5,10,3,2,6
2012,The Parting Glass,Ed Sheeran,6,10,4,8,9,10,15,7,5,9
1992,Bloodstream,Ed Sheeran,13,10,7,13,6,19,14,12,4,6
1978,Kiss Me,Ed Sheeran,7,6,6,10,8,13,14,9,5,7
1969,Eraser,Ed Sheeran,19,22,15,16,22,40,43,20,8,27
2039,She,Ed Sheeran,5,8,4,7,4,10,12,6,2,5
2025,Little Bird,Ed Sheeran,7,5,6,7,7,14,18,10,5,7
1957,Castle on the Hill,Ed Sheeran,5,13,4,7,10,15,24,9,5,12
1999,Small Bump,Ed Sheeran,8,4,6,7,4,18,10,9,4,5
2067,Where We Land,Ed Sheeran,8,6,7,8,6,11,11,7,3,5
2018,Way to Break My Heart,Ed Sheeran,5,8,2,5,7,8,14,7,5,6
1986,Tenerife Sea,Ed Sheeran,2,3,3,5,5,12,12,7,2,5
2071,Fire Alarms,Ed Sheeran,2,1,3,4,1,11,6,3,1,4
2048,Be Like You,Ed Sheeran,10,10,8,12,9,23,14,12,9,10
